,index,DATE ADDED TO CATALOG,PUBMEDID,FIRST AUTHOR,DATE,JOURNAL,LINK,STUDY,DISEASE/TRAIT,INITIAL SAMPLE SIZE,REPLICATION SAMPLE SIZE,REGION,CHR_ID,CHR_POS,REPORTED GENE(S),MAPPED_GENE,UPSTREAM_GENE_ID,DOWNSTREAM_GENE_ID,SNP_GENE_IDS,UPSTREAM_GENE_DISTANCE,DOWNSTREAM_GENE_DISTANCE,STRONGEST SNP-RISK ALLELE,SNPS,MERGED,SNP_ID_CURRENT,CONTEXT,INTERGENIC,RISK ALLELE FREQUENCY,P-VALUE,PVALUE_MLOG,P-VALUE (TEXT),OR or BETA,95% CI (TEXT),PLATFORM [SNPS PASSING QC],CNV
0,21070,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"up to 122,733 cases, up to 424,528 controls",,9p21.3,9,22098575,CDKN2B-AS1,CDKN2B-AS1,,,100048912,,,rs4977574-A,rs4977574,0,4977574.0,intron_variant,0.0,0.519,8.999999999999996e-223,222.04575749056067,,0.1788,[0.17-0.19] unit decrease,Affymetrix [at least 7947838] (imputed),N
1,23694,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"34,541 cases, 261,984 controls","88,192 cases, 162,544 controls",9p21.3,9,22098620,CDKN2B-AS1,CDKN2B-AS1,,,100048912,,,rs2891168-A,rs2891168,0,2891168.0,intron_variant,0.0,0.525,4.999999999999999e-204,203.30102999566398,,0.18899999999999997,[0.18-0.2] unit decrease,Affymetrix [7947838] (imputed),N
2,23830,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"88,192 cases, 162,544 controls","34,541 cases, 261,984 controls",9p21.3,9,22125504,CDKN2B-AS1,CDKN2B-AS1 - DMRTA1,100048912.0,63951.0,,4407.0,321337.0,rs1333049-C,rs1333049,0,1333049.0,downstream_gene_variant,1.0,0.4847,1.999999999999999e-192,191.69897000433602,,0.1879,[0.18-0.2] unit increase,NR [8041861] (imputed),N
3,23689,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"34,541 cases, 261,984 controls","88,192 cases, 162,544 controls",6q25.3,6,160584578,LPA,LPA,,,4018,,,rs55730499-T,rs55730499,0,55730499.0,intron_variant,0.0,0.069,2.9999999999999996e-154,153.52287874528034,,0.337,[0.31-0.36] unit increase,Affymetrix [7947838] (imputed),N
4,23801,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"88,192 cases, 162,544 controls","34,541 cases, 261,984 controls",6q25.3,6,160584578,LPA,LPA,,,4018,,,rs55730499-T,rs55730499,0,55730499.0,intron_variant,0.0,0.0686,2.9999999999999996e-154,153.52287874528034,,0.3368,[0.31-0.36] unit increase,NR [8041861] (imputed),N
5,21017,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"up to 122,733 cases, up to 424,528 controls",,6q25.3,6,160584578,LPA,LPA,,,4018,,,rs55730499-T,rs55730499,0,55730499.0,intron_variant,0.0,0.0693,9.999999999999998e-154,153.0,,0.3122,[0.29-0.34] unit increase,Affymetrix [at least 7947838] (imputed),N
6,32218,2016-09-12,26343387,Nikpay M,2015-09-07,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/26343387,A comprehensive 1000 Genomes-based genome-wide association meta-analysis of coronary artery disease.,Coronary artery disease,"42,096 European ancestry cases, 361 African American cases, 758 Hispanic American cases, 12,658 South Asian ancestry cases, 1,802 Lebanese ancestry cases, 3,614 East Asian ancestry cases, 99,121 European ancestry controls, 2,778 African American controls, 3,337 Hispanic American controls, 12,899 South Asian ancestry controls, 466 Lebanese ancestry controls, 7,709 East Asian ancestry controls",,9p21.3,9,22098620,9p21,CDKN2B-AS1,,,100048912,,,rs2891168-G,rs2891168,0,2891168.0,intron_variant,0.0,0.488668,1.9999999999999996e-98,97.69897000433602,,1.21,[1.19- 1.24],"Affymetrix, Illumina [8600000] (imputed)",N
7,23804,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"88,192 cases, 162,544 controls","34,541 cases, 261,984 controls",6q26,6,160690668,intergenic,LPA - PLG,4018.0,5340.0,,24293.0,11525.0,rs186696265-T,rs186696265,0,186696265.0,intergenic_variant,1.0,0.0131,4.9999999999999994e-92,91.30102999566398,,0.5467,[0.49-0.6] unit increase,NR [8041861] (imputed),N
8,23690,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"34,541 cases, 261,984 controls","88,192 cases, 162,544 controls",6q25.3,6,160591981,LPA,LPA,,,4018,,,rs140570886-T,rs140570886,0,140570886.0,intron_variant,0.0,0.983,2.9999999999999997e-87,86.52287874528034,,0.48100000000000004,[0.43-0.53] unit decrease,Affymetrix [7947838] (imputed),N
9,23779,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"88,192 cases, 162,544 controls","34,541 cases, 261,984 controls",6p24.1,6,12903725,PHACTR1,PHACTR1,,,221692,,,rs9349379-A,rs9349379,0,9349379.0,intron_variant,0.0,0.5876,2.9999999999999994e-77,76.52287874528034,,0.1205,[0.11-0.13] unit decrease,NR [8041861] (imputed),N
10,23686,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"34,541 cases, 261,984 controls","88,192 cases, 162,544 controls",6p24.1,6,12903725,PHACTR1,PHACTR1,,,221692,,,rs9349379-A,rs9349379,0,9349379.0,intron_variant,0.0,0.588,2.9999999999999994e-77,76.52287874528034,,0.121,[0.11-0.13] unit decrease,Affymetrix [7947838] (imputed),N
11,21025,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"up to 122,733 cases, up to 424,528 controls",,6p24.1,6,12903725,PHACTR1,PHACTR1,,,221692,,,rs9349379-A,rs9349379,0,9349379.0,intron_variant,0.0,0.5907,2.999999999999999e-76,75.52287874528034,,0.1072,[0.096-0.119] unit decrease,Affymetrix [at least 7947838] (imputed),N
12,23704,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"88,192 cases, 162,544 controls","34,541 cases, 261,984 controls",1p13.3,1,109278889,"CELSR2, PSRC1",CELSR2 - PSRC1,1952.0,84722.0,,3133.0,665.0,rs602633-T,rs602633,0,602633.0,downstream_gene_variant,1.0,0.2346,2e-59,58.698970004336026,,0.11199999999999999,[0.098-0.126] unit decrease,NR [8041861] (imputed),N
13,21094,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"up to 122,733 cases, up to 424,528 controls",,1p13.3,1,109278889,"CELSR2, PSRC1",CELSR2 - PSRC1,1952.0,84722.0,,3133.0,665.0,rs602633-T,rs602633,0,602633.0,downstream_gene_variant,1.0,0.2343,4e-58,57.39794000867204,,0.0999,[0.088-0.112] unit decrease,Affymetrix [at least 7947838] (imputed),N
14,4615,2011-06-04,21606135,Wild PS,2011-05-23,Circ Cardiovasc Genet,www.ncbi.nlm.nih.gov/pubmed/21606135,A genome-wide association study identifies LIPA as a susceptibility gene for coronary artery disease.,Coronary heart disease,"2,078 European ancestry cases, 2,953 European ancestry controls","19,350 European ancestry cases, 35,408 European ancestry controls",9p21.3,9,22125504,intergenic,CDKN2B-AS1 - DMRTA1,100048912.0,63951.0,,4407.0,321337.0,rs1333049-C,rs1333049,0,1333049,downstream_gene_variant,1.0,0.49,7e-58,57.15490195998574,,1.27,[1.23-1.31],Affymetrix [608247],N
15,23684,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"34,541 cases, 261,984 controls","88,192 cases, 162,544 controls",1p13.3,1,109274968,"CELSR2, PSRC1",CELSR2,,,1952,,,rs12740374-T,rs12740374,0,12740374.0,3_prime_UTR_variant,0.0,0.219,2e-57,56.698970004336026,,0.124,[0.11-0.14] unit decrease,Affymetrix [7947838] (imputed),N
16,44124,2014-07-23,24262325,Dichgans M,2013-11-21,Stroke,www.ncbi.nlm.nih.gov/pubmed/24262325,Shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants.,Coronary artery disease,"33,398 cases, 75,726 controls",,9p21.3,9,22125504,CDKN2BAS,CDKN2B-AS1 - DMRTA1,100048912.0,63951.0,,4407.0,321337.0,rs1333049-C,rs1333049,0,1333049.0,downstream_gene_variant,1.0,NR,2.9999999999999994e-56,55.522878745280345,,1.24,[1.21-1.28],Illumina [575000] (imputed),N
17,6656,2012-09-20,22751097,Lu X,2012-07-01,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/22751097,Genome-wide association study in Han Chinese identifies four new susceptibility loci for coronary artery disease.,Coronary heart disease,"1,515 Han Chinese ancestry cases, 5,019 Han Chinese ancestry controls","15,460 Han Chinese ancestry cases, 11,472 Han Chinese ancestry controls",9p21.3,9,22096056,CDKN2A/B,CDKN2B-AS1,,,100048912,,,rs10757274-G,rs10757274,0,10757274,intron_variant,0.0,0.46,8e-45,44.09691001300805,,1.37,[1.31-1.43],Affymetrix [~ 2200000] (imputed),N
