,index,DATE ADDED TO CATALOG,PUBMEDID,FIRST AUTHOR,DATE,JOURNAL,LINK,STUDY,DISEASE/TRAIT,INITIAL SAMPLE SIZE,REPLICATION SAMPLE SIZE,REGION,CHR_ID,CHR_POS,REPORTED GENE(S),MAPPED_GENE,UPSTREAM_GENE_ID,DOWNSTREAM_GENE_ID,SNP_GENE_IDS,UPSTREAM_GENE_DISTANCE,DOWNSTREAM_GENE_DISTANCE,STRONGEST SNP-RISK ALLELE,SNPS,MERGED,SNP_ID_CURRENT,CONTEXT,INTERGENIC,RISK ALLELE FREQUENCY,P-VALUE,PVALUE_MLOG,P-VALUE (TEXT),OR or BETA,95% CI (TEXT),PLATFORM [SNPS PASSING QC],CNV
319,23815,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"88,192 cases, 162,544 controls","34,541 cases, 261,984 controls",7q34,7,140057336,PARP12,PARP12,,,64761,,,rs10237377-T,rs10237377,0,10237377.0,intron_variant,0.0,0.3637,9.000000000000001e-11,10.045757490560677,,0.0423,[0.03-0.055] unit decrease,NR [8041861] (imputed),N
472,21064,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"up to 122,733 cases, up to 424,528 controls",,7q34,7,140057336,PARP12,PARP12,,,64761,,,rs10237377-T,rs10237377,0,10237377.0,intron_variant,0.0,0.3608,7e-09,8.154901959985743,,0.0338,[0.022-0.045] unit decrease,Affymetrix [at least 7947838] (imputed),N
459,23805,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"88,192 cases, 162,544 controls","34,541 cases, 261,984 controls",7p22.3,7,1897625,MAD1L1,MAD1L1,,,8379,,,rs10267593-A,rs10267593,0,10267593.0,intron_variant,0.0,0.2052,5e-09,8.301029995663981,,0.0412,[0.027-0.055] unit decrease,NR [8041861] (imputed),N
530,23978,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"up to 122,733 cases, up to 424,528 controls",,7p22.3,7,1897625,MAD1L1,MAD1L1,,,8379,,,rs10267593-A,rs10267593,0,10267593.0,intron_variant,0.0,0.2012,2e-08,7.698970004336019,,0.036000000000000004,[0.023-0.049] unit decrease,Affymetrix [at least 7947838] (imputed),N
289,21091,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"up to 122,733 cases, up to 424,528 controls",,16q22.2,16,72096916,"DHX38, TXNL4B",DHX38,,,9785,,,rs1050362-A,rs1050362,0,1050362.0,synonymous_variant,0.0,0.3755,3e-11,10.522878745280336,,0.0352,[0.025-0.046] unit increase,Affymetrix [at least 7947838] (imputed),N
285,23905,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"88,192 cases, 162,544 controls","34,541 cases, 261,984 controls",16q22.2,16,72096916,"DHX38, TXNL4B",DHX38,,,9785,,,rs1050362-A,rs1050362,0,1050362.0,synonymous_variant,0.0,0.3781,3e-11,10.522878745280336,,0.0386,[0.027-0.05] unit increase,NR [8041861] (imputed),N
443,21000,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"up to 122,733 cases, up to 424,528 controls",,3q22.1,3,132539117,DNAJC13,DNAJC13 - NPHP3-ACAD11,23317.0,100532724.0,,85.0,19021.0,rs10512861-T,rs10512861,0,10512861.0,downstream_gene_variant,1.0,0.1433,3e-09,8.522878745280337,,0.0431,[0.029-0.057] unit decrease,Affymetrix [at least 7947838] (imputed),N
527,23746,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"88,192 cases, 162,544 controls","34,541 cases, 261,984 controls",3q22.1,3,132539117,DNAJC13,DNAJC13 - NPHP3-ACAD11,23317.0,100532724.0,,85.0,19021.0,rs10512861-T,rs10512861,0,10512861.0,downstream_gene_variant,1.0,0.1441,2e-08,7.698970004336019,,0.0454,[0.03-0.061] unit decrease,NR [8041861] (imputed),N
497,32217,2016-09-12,26343387,Nikpay M,2015-09-07,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/26343387,A comprehensive 1000 Genomes-based genome-wide association meta-analysis of coronary artery disease.,Coronary artery disease,"42,096 European ancestry cases, 361 African American cases, 758 Hispanic American cases, 12,658 South Asian ancestry cases, 1,802 Lebanese ancestry cases, 3,614 East Asian ancestry cases, 99,121 European ancestry controls, 2,778 African American controls, 3,337 Hispanic American controls, 12,899 South Asian ancestry controls, 466 Lebanese ancestry controls, 7,709 East Asian ancestry controls",,11p15.4,11,9729649,SWAP70,SWAP70,,,23075,,,rs10840293-A,rs10840293,0,10840293.0,intron_variant,0.0,0.55,1e-08,8.0,(additive model),1.06,[1.04-1.08],"Affymetrix, Illumina [8600000] (imputed)",N
225,23856,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"88,192 cases, 162,544 controls","34,541 cases, 261,984 controls",11p15.4,11,9729649,SWAP70,SWAP70,,,23075,,,rs10840293-A,rs10840293,0,10840293.0,intron_variant,0.0,0.5523,9.000000000000001e-13,12.045757490560675,,0.046,[0.033-0.059] unit increase,NR [8041861] (imputed),N
